example_id                                                 | status  | run_time        |
---------------------------------------------------------- | ------- | --------------- |
./spec/features/conversion_metrics_spec.rb[1:1]            | passed  | 0.02796 seconds |
./spec/features/conversion_metrics_spec.rb[1:2]            | passed  | 0.03264 seconds |
./spec/features/conversion_metrics_spec.rb[1:3]            | passed  | 0.05697 seconds |
./spec/features/conversion_metrics_spec.rb[1:4]            | passed  | 0.04517 seconds |
./spec/features/conversion_metrics_spec.rb[1:5]            | passed  | 0.06184 seconds |
./spec/features/conversion_metrics_spec.rb[1:6]            | passed  | 0.06546 seconds |
./spec/features/conversion_metrics_spec.rb[1:7]            | passed  | 0.0905 seconds  |
./spec/features/conversion_metrics_spec.rb[1:8]            | passed  | 0.90628 seconds |
./spec/features/exclusive_conversion_metrics_spec.rb[1:1]  | passed  | 0.01749 seconds |
./spec/features/exclusive_conversion_metrics_spec.rb[1:2]  | passed  | 0.03468 seconds |
./spec/features/exclusive_conversion_metrics_spec.rb[1:3]  | passed  | 0.02476 seconds |
./spec/features/exclusive_conversion_metrics_spec.rb[1:4]  | passed  | 0.02852 seconds |
./spec/features/exclusive_conversion_metrics_spec.rb[1:5]  | passed  | 0.05868 seconds |
./spec/features/exclusive_conversion_metrics_spec.rb[1:6]  | passed  | 0.0682 seconds  |
./spec/features/exclusive_conversion_metrics_spec.rb[1:7]  | passed  | 0.06988 seconds |
./spec/features/exclusive_conversion_metrics_spec.rb[1:8]  | passed  | 0.05719 seconds |
./spec/models/ab_test_contribution_conversion_spec.rb[1:1] | pending | 0 seconds       |
./spec/models/contribution_spec.rb[1:1]                    | pending | 0.00001 seconds |
./spec/models/project_spec.rb[1:1]                         | pending | 0 seconds       |
./spec/models/user_behavior_tracking_spec.rb[1:1]          | pending | 0.00001 seconds |
./spec/models/user_spec.rb[1:1]                            | pending | 0 seconds       |
